#     ETS 1  ETS 128 ETS 16384    LTS 1
 2 0.186259 1.093907 1.232039 1.140003 
 4 0.361310 1.974628 1.455354 2.570551 
 8 0.700035 3.479961 3.345588 4.250641 
12 1.041155 4.860548 6.627062 5.790478 
16 1.353055 6.268758 8.101243 7.164295 
